qualtrics_id,trial_number,match_type_0,match_type_1,response,response_type
R_2EbOvBx5lJjFEVs,8,Obj,Rel,1,Rel
R_diIFyEHcBgROYzn,8,Obj,Rel,1,Rel
R_diIFyEHcBgROYzn,5,Obj,Rel,0,Obj
R_diIFyEHcBgROYzn,2,Rel,Obj,1,Obj
R_diIFyEHcBgROYzn,4,Rel,Obj,1,Obj
R_diIFyEHcBgROYzn,3,Rel,Obj,1,Obj
R_diIFyEHcBgROYzn,1,Rel,Obj,1,Obj
R_diIFyEHcBgROYzn,6,Obj,Rel,1,Rel
R_diIFyEHcBgROYzn,7,Obj,Rel,1,Rel
R_STy7opVLSgSa2uB,4,Rel,Obj,0,Rel
R_STy7opVLSgSa2uB,6,Obj,Rel,1,Rel
R_STy7opVLSgSa2uB,2,Rel,Obj,0,Rel
R_STy7opVLSgSa2uB,8,Obj,Rel,1,Rel
R_STy7opVLSgSa2uB,1,Rel,Obj,0,Rel
R_STy7opVLSgSa2uB,7,Obj,Rel,1,Rel
R_STy7opVLSgSa2uB,5,Obj,Rel,1,Rel
R_STy7opVLSgSa2uB,3,Rel,Obj,0,Rel
R_241VRfsvJFmogaX,7,Obj,Rel,1,Rel
R_241VRfsvJFmogaX,1,Rel,Obj,0,Rel
R_241VRfsvJFmogaX,2,Rel,Obj,0,Rel
R_241VRfsvJFmogaX,4,Rel,Obj,0,Rel
R_241VRfsvJFmogaX,3,Rel,Obj,0,Rel
R_241VRfsvJFmogaX,6,Obj,Rel,1,Rel
R_241VRfsvJFmogaX,5,Obj,Rel,1,Rel
R_241VRfsvJFmogaX,8,Obj,Rel,1,Rel
R_Z4dlGjBixAkvcWZ,6,Obj,Rel,1,Rel
R_Z4dlGjBixAkvcWZ,7,Obj,Rel,1,Rel
R_Z4dlGjBixAkvcWZ,8,Obj,Rel,1,Rel
R_Z4dlGjBixAkvcWZ,3,Rel,Obj,0,Rel
R_Z4dlGjBixAkvcWZ,4,Rel,Obj,0,Rel
R_Z4dlGjBixAkvcWZ,1,Rel,Obj,0,Rel
R_Z4dlGjBixAkvcWZ,2,Rel,Obj,0,Rel
R_Z4dlGjBixAkvcWZ,5,Obj,Rel,1,Rel
