date,subject,condition,sex,experimenter,trial_num,platform,distance,laser_trial,outcome
2023-07-28,WT0001L1,control,F,ASM,1,5,18,0,2
2023-07-28,WT0001L1,control,F,ASM,2,3,18,0,2
2023-07-28,WT0001L1,control,F,ASM,3,3,18,0,2
2023-07-28,WT0001L1,control,F,ASM,4,5,12,0,1
2023-07-28,WT0001L1,control,F,ASM,5,3,14,0,1
2023-07-28,WT0001L1,control,F,ASM,6,3,12,0,2
2023-07-28,WT0001L1,control,F,ASM,7,3,14,0,1
2023-07-28,WT0001L1,control,F,ASM,8,2,18,0,2
2023-07-28,WT0001L1,control,F,ASM,9,3,10,0,1
2023-07-28,WT0001L1,control,F,ASM,10,3,18,0,2
2023-07-28,WT0001L1,control,F,ASM,11,3,10,0,1
2023-07-28,WT0001L1,control,F,ASM,12,1,14,0,1
2023-07-28,WT0001L1,control,F,ASM,13,1,16,0,2
2023-07-28,WT0001L1,control,F,ASM,14,1,16,0,2
2023-07-28,WT0001L1,control,F,ASM,15,3,10,0,1
2023-07-28,WT0001L1,control,F,ASM,16,3,20,0,2
2023-07-28,WT0001L1,control,F,ASM,17,3,14,0,1
2023-07-28,WT0001L1,control,F,ASM,18,4,10,0,1
2023-07-28,WT0001L1,control,F,ASM,19,3,16,0,1
2023-07-28,WT0001L1,control,F,ASM,20,3,18,0,1
2023-07-28,WT0001L1,control,F,ASM,21,3,14,0,1
2023-07-28,WT0001L1,control,F,ASM,22,4,16,0,1
2023-07-28,WT0001L1,control,F,ASM,23,3,16,0,1
2023-07-28,WT0001L1,control,F,ASM,24,3,18,0,1
2023-07-28,WT0001L1,control,F,ASM,25,3,12,0,1
2023-07-28,WT0001L1,control,F,ASM,26,3,14,0,1
2023-07-28,WT0001L1,control,F,ASM,27,3,14,0,1
2023-07-28,WT0001L1,control,F,ASM,28,3,14,0,1
2023-07-28,WT0001L1,control,F,ASM,29,3,16,0,1
2023-07-28,WT0001L1,control,F,ASM,30,3,12,0,1
