date,subject,condition,sex,experimenter,trial_num,platform,distance,laser_trial,outcome
2023-07-27,WT0002L2,control,M,ACN,1,3,18,0,2
2023-07-27,WT0002L2,control,M,ACN,2,3,10,0,1
2023-07-27,WT0002L2,control,M,ACN,3,5,14,0,1
2023-07-27,WT0002L2,control,M,ACN,4,5,12,0,1
2023-07-27,WT0002L2,control,M,ACN,5,3,10,0,1
2023-07-27,WT0002L2,control,M,ACN,6,2,10,0,1
2023-07-27,WT0002L2,control,M,ACN,7,3,14,0,1
2023-07-27,WT0002L2,control,M,ACN,8,2,10,0,1
2023-07-27,WT0002L2,control,M,ACN,9,3,16,0,2
2023-07-27,WT0002L2,control,M,ACN,10,3,10,0,1
2023-07-27,WT0002L2,control,M,ACN,11,5,18,0,2
2023-07-27,WT0002L2,control,M,ACN,12,3,14,0,1
2023-07-27,WT0002L2,control,M,ACN,13,3,18,0,2
2023-07-27,WT0002L2,control,M,ACN,14,2,10,0,1
2023-07-27,WT0002L2,control,M,ACN,15,3,10,0,1
2023-07-27,WT0002L2,control,M,ACN,16,3,14,0,1
2023-07-27,WT0002L2,control,M,ACN,17,4,14,0,1
2023-07-27,WT0002L2,control,M,ACN,18,2,12,0,1
2023-07-27,WT0002L2,control,M,ACN,19,3,18,0,2
2023-07-27,WT0002L2,control,M,ACN,20,3,16,0,2
2023-07-27,WT0002L2,control,M,ACN,21,1,20,0,2
2023-07-27,WT0002L2,control,M,ACN,22,3,14,0,0
2023-07-27,WT0002L2,control,M,ACN,23,2,14,0,1
2023-07-27,WT0002L2,control,M,ACN,24,3,14,0,1
2023-07-27,WT0002L2,control,M,ACN,25,3,20,0,2
2023-07-27,WT0002L2,control,M,ACN,26,3,12,0,1
2023-07-27,WT0002L2,control,M,ACN,27,3,14,0,1
2023-07-27,WT0002L2,control,M,ACN,28,3,20,0,2
2023-07-27,WT0002L2,control,M,ACN,29,3,12,0,0
2023-07-27,WT0002L2,control,M,ACN,30,3,12,0,1
2023-07-27,WT0002L2,control,M,ACN,31,5,20,0,2
2023-07-27,WT0002L2,control,M,ACN,32,3,14,0,1
2023-07-27,WT0002L2,control,M,ACN,33,5,10,0,1
2023-07-27,WT0002L2,control,M,ACN,34,1,14,0,2
2023-07-27,WT0002L2,control,M,ACN,35,5,16,0,1
2023-07-27,WT0002L2,control,M,ACN,36,3,18,0,2
2023-07-27,WT0002L2,control,M,ACN,37,3,10,0,1
2023-07-27,WT0002L2,control,M,ACN,38,3,18,0,2
2023-07-27,WT0002L2,control,M,ACN,39,5,12,0,1
2023-07-27,WT0002L2,control,M,ACN,40,3,20,0,2
2023-07-27,WT0002L2,control,M,ACN,41,5,18,0,2
2023-07-27,WT0002L2,control,M,ACN,42,3,14,0,1
2023-07-27,WT0002L2,control,M,ACN,43,3,16,0,0
2023-07-27,WT0002L2,control,M,ACN,44,3,10,0,1
2023-07-27,WT0002L2,control,M,ACN,45,4,16,0,2
2023-07-27,WT0002L2,control,M,ACN,46,3,14,0,1
2023-07-27,WT0002L2,control,M,ACN,47,3,16,0,2
2023-07-27,WT0002L2,control,M,ACN,48,3,18,0,2
2023-07-27,WT0002L2,control,M,ACN,49,3,18,0,2
2023-07-27,WT0002L2,control,M,ACN,50,3,18,0,2
2023-07-27,WT0002L2,control,M,ACN,51,2,14,0,0
2023-07-27,WT0002L2,control,M,ACN,52,3,20,0,2
2023-07-27,WT0002L2,control,M,ACN,53,3,14,0,1
2023-07-27,WT0002L2,control,M,ACN,54,3,14,0,1
2023-07-27,WT0002L2,control,M,ACN,55,3,20,0,2
2023-07-27,WT0002L2,control,M,ACN,56,3,16,0,1
2023-07-27,WT0002L2,control,M,ACN,57,3,16,0,2
2023-07-27,WT0002L2,control,M,ACN,58,3,20,0,2
2023-07-27,WT0002L2,control,M,ACN,59,3,16,0,2
2023-07-27,WT0002L2,control,M,ACN,60,3,16,0,2
2023-07-27,WT0002L2,control,M,ACN,61,3,12,0,1
2023-07-27,WT0002L2,control,M,ACN,62,3,10,0,1
2023-07-27,WT0002L2,control,M,ACN,63,3,14,0,1
2023-07-27,WT0002L2,control,M,ACN,64,1,18,0,2
2023-07-27,WT0002L2,control,M,ACN,65,3,20,0,2
2023-07-27,WT0002L2,control,M,ACN,66,3,18,0,2
2023-07-27,WT0002L2,control,M,ACN,67,1,12,0,0
2023-07-27,WT0002L2,control,M,ACN,68,3,14,0,0
2023-07-27,WT0002L2,control,M,ACN,69,5,16,0,2
2023-07-27,WT0002L2,control,M,ACN,70,3,10,0,1
