date,subject,condition,sex,experimenter,trial_num,platform,distance,laser_trial,outcome
2023-07-19,WT0001L1,control,F,ASM,1,3,10,0,2
2023-07-19,WT0001L1,control,F,ASM,2,3,16,0,2
2023-07-19,WT0001L1,control,F,ASM,3,3,12,0,1
2023-07-19,WT0001L1,control,F,ASM,4,5,18,0,2
2023-07-19,WT0001L1,control,F,ASM,5,3,12,0,1
2023-07-19,WT0001L1,control,F,ASM,6,3,12,0,1
2023-07-19,WT0001L1,control,F,ASM,7,3,18,0,1
2023-07-19,WT0001L1,control,F,ASM,8,3,18,0,1
2023-07-19,WT0001L1,control,F,ASM,9,3,14,0,2
2023-07-19,WT0001L1,control,F,ASM,10,3,18,0,1
2023-07-19,WT0001L1,control,F,ASM,11,3,16,0,1
2023-07-19,WT0001L1,control,F,ASM,12,3,12,0,1
2023-07-19,WT0001L1,control,F,ASM,13,3,10,0,1
2023-07-19,WT0001L1,control,F,ASM,14,3,10,0,1
2023-07-19,WT0001L1,control,F,ASM,15,3,10,0,1
2023-07-19,WT0001L1,control,F,ASM,16,3,12,0,1
2023-07-19,WT0001L1,control,F,ASM,17,3,12,0,1
