date,subject,condition,sex,experimenter,trial_num,platform,distance,laser_trial,outcome
2023-07-26,WT0002L2,control,M,MLP,1,4,20,0,2
2023-07-26,WT0002L2,control,M,MLP,2,1,20,0,2
2023-07-26,WT0002L2,control,M,MLP,3,3,10,0,1
2023-07-26,WT0002L2,control,M,MLP,4,5,20,0,2
2023-07-26,WT0002L2,control,M,MLP,5,3,10,0,1
2023-07-26,WT0002L2,control,M,MLP,6,3,10,0,1
2023-07-26,WT0002L2,control,M,MLP,7,3,14,0,2
2023-07-26,WT0002L2,control,M,MLP,8,3,16,0,2
2023-07-26,WT0002L2,control,M,MLP,9,3,10,0,1
2023-07-26,WT0002L2,control,M,MLP,10,3,18,0,2
2023-07-26,WT0002L2,control,M,MLP,11,3,10,0,1
2023-07-26,WT0002L2,control,M,MLP,12,2,14,0,2
2023-07-26,WT0002L2,control,M,MLP,13,3,18,0,2
2023-07-26,WT0002L2,control,M,MLP,14,3,20,0,2
2023-07-26,WT0002L2,control,M,MLP,15,3,20,0,2
2023-07-26,WT0002L2,control,M,MLP,16,3,12,0,1
2023-07-26,WT0002L2,control,M,MLP,17,3,10,0,1
2023-07-26,WT0002L2,control,M,MLP,18,3,10,0,1
2023-07-26,WT0002L2,control,M,MLP,19,3,16,0,2
2023-07-26,WT0002L2,control,M,MLP,20,3,12,0,2
2023-07-26,WT0002L2,control,M,MLP,21,3,20,0,2
2023-07-26,WT0002L2,control,M,MLP,22,3,12,0,1
2023-07-26,WT0002L2,control,M,MLP,23,2,20,0,2
2023-07-26,WT0002L2,control,M,MLP,24,1,14,0,0
2023-07-26,WT0002L2,control,M,MLP,25,3,12,0,1
2023-07-26,WT0002L2,control,M,MLP,26,3,20,0,2
2023-07-26,WT0002L2,control,M,MLP,27,3,18,0,2
2023-07-26,WT0002L2,control,M,MLP,28,3,16,0,1
2023-07-26,WT0002L2,control,M,MLP,29,3,16,0,2
2023-07-26,WT0002L2,control,M,MLP,30,3,20,0,2
2023-07-26,WT0002L2,control,M,MLP,31,3,14,0,1
2023-07-26,WT0002L2,control,M,MLP,32,3,12,0,1
2023-07-26,WT0002L2,control,M,MLP,33,4,20,0,2
2023-07-26,WT0002L2,control,M,MLP,34,3,14,0,0
2023-07-26,WT0002L2,control,M,MLP,35,3,16,0,1
2023-07-26,WT0002L2,control,M,MLP,36,3,20,0,0
2023-07-26,WT0002L2,control,M,MLP,37,3,16,0,1
2023-07-26,WT0002L2,control,M,MLP,38,3,18,0,0
2023-07-26,WT0002L2,control,M,MLP,39,3,12,0,1
2023-07-26,WT0002L2,control,M,MLP,40,2,18,0,0
2023-07-26,WT0002L2,control,M,MLP,41,4,20,0,2
2023-07-26,WT0002L2,control,M,MLP,42,5,18,0,1
2023-07-26,WT0002L2,control,M,MLP,43,3,14,0,1
2023-07-26,WT0002L2,control,M,MLP,44,3,18,0,0
2023-07-26,WT0002L2,control,M,MLP,45,3,10,0,1
2023-07-26,WT0002L2,control,M,MLP,46,3,14,0,0
2023-07-26,WT0002L2,control,M,MLP,47,3,20,0,2
2023-07-26,WT0002L2,control,M,MLP,48,3,20,0,2
2023-07-26,WT0002L2,control,M,MLP,49,3,18,0,2
2023-07-26,WT0002L2,control,M,MLP,50,3,16,0,0
2023-07-26,WT0002L2,control,M,MLP,51,3,10,0,1
2023-07-26,WT0002L2,control,M,MLP,52,3,18,0,2
2023-07-26,WT0002L2,control,M,MLP,53,5,20,0,2
2023-07-26,WT0002L2,control,M,MLP,54,3,16,0,1
