date,subject,condition,sex,experimenter,trial_num,platform,distance,laser_trial,outcome
2023-07-26,WT0001L1,control,F,ASM,1,3,18,0,2
2023-07-26,WT0001L1,control,F,ASM,2,4,20,0,2
2023-07-26,WT0001L1,control,F,ASM,3,3,20,0,2
2023-07-26,WT0001L1,control,F,ASM,4,4,12,0,0
2023-07-26,WT0001L1,control,F,ASM,5,4,12,0,1
2023-07-26,WT0001L1,control,F,ASM,6,3,10,0,1
2023-07-26,WT0001L1,control,F,ASM,7,3,12,0,2
2023-07-26,WT0001L1,control,F,ASM,8,3,14,0,1
2023-07-26,WT0001L1,control,F,ASM,9,5,20,0,2
2023-07-26,WT0001L1,control,F,ASM,10,1,20,0,2
2023-07-26,WT0001L1,control,F,ASM,11,3,20,0,1
2023-07-26,WT0001L1,control,F,ASM,12,3,16,0,1
2023-07-26,WT0001L1,control,F,ASM,13,3,14,0,1
2023-07-26,WT0001L1,control,F,ASM,14,3,20,0,1
