date,subject,condition,sex,experimenter,trial_num,platform,distance,laser_trial,outcome
2023-07-25,WT0001L1,control,F,JHO,1,3,20,0,2
2023-07-25,WT0001L1,control,F,JHO,2,3,16,0,2
2023-07-25,WT0001L1,control,F,JHO,3,4,16,0,2
2023-07-25,WT0001L1,control,F,JHO,4,5,16,0,2
2023-07-25,WT0001L1,control,F,JHO,5,3,20,0,2
2023-07-25,WT0001L1,control,F,JHO,6,1,10,0,2
2023-07-25,WT0001L1,control,F,JHO,7,3,16,0,2
2023-07-25,WT0001L1,control,F,JHO,8,5,10,0,1
2023-07-25,WT0001L1,control,F,JHO,9,1,14,0,1
2023-07-25,WT0001L1,control,F,JHO,10,3,10,0,1
2023-07-25,WT0001L1,control,F,JHO,11,3,10,0,1
2023-07-25,WT0001L1,control,F,JHO,12,3,14,0,1
2023-07-25,WT0001L1,control,F,JHO,13,3,20,0,2
2023-07-25,WT0001L1,control,F,JHO,14,3,18,0,2
2023-07-25,WT0001L1,control,F,JHO,15,3,14,0,1
2023-07-25,WT0001L1,control,F,JHO,16,3,18,0,2
2023-07-25,WT0001L1,control,F,JHO,17,3,12,0,1
2023-07-25,WT0001L1,control,F,JHO,18,2,10,0,1
2023-07-25,WT0001L1,control,F,JHO,19,3,10,0,1
2023-07-25,WT0001L1,control,F,JHO,20,3,18,0,2
2023-07-25,WT0001L1,control,F,JHO,21,3,10,0,1
2023-07-25,WT0001L1,control,F,JHO,22,3,14,0,1
2023-07-25,WT0001L1,control,F,JHO,23,3,20,0,2
2023-07-25,WT0001L1,control,F,JHO,24,3,16,0,2
2023-07-25,WT0001L1,control,F,JHO,25,3,18,0,2
2023-07-25,WT0001L1,control,F,JHO,26,3,20,0,2
2023-07-25,WT0001L1,control,F,JHO,27,3,16,0,1
2023-07-25,WT0001L1,control,F,JHO,28,3,18,0,2
2023-07-25,WT0001L1,control,F,JHO,29,3,14,0,1
2023-07-25,WT0001L1,control,F,JHO,30,3,16,0,2
2023-07-25,WT0001L1,control,F,JHO,31,1,20,0,2
2023-07-25,WT0001L1,control,F,JHO,32,3,16,0,2
2023-07-25,WT0001L1,control,F,JHO,33,3,12,0,1
2023-07-25,WT0001L1,control,F,JHO,34,3,18,0,2
2023-07-25,WT0001L2,control,F,JHO,34,3,18,0,2
2023-07-25,WT0001L2,control,F,JHO,35,2,10,0,2
2023-07-25,WT0001L2,control,F,JHO,36,3,20,0,2
2023-07-25,WT0001L2,control,F,JHO,37,3,18,0,2
2023-07-25,WT0001L2,control,F,JHO,38,3,16,0,1
2023-07-25,WT0001L2,control,F,JHO,39,3,10,0,1
2023-07-25,WT0001L2,control,F,JHO,40,3,12,0,1
2023-07-25,WT0001L2,control,F,JHO,41,5,10,0,2
2023-07-25,WT0001L2,control,F,JHO,42,3,20,0,2
2023-07-25,WT0001L2,control,F,JHO,43,3,18,0,2
2023-07-25,WT0001L2,control,F,JHO,44,3,20,0,1
2023-07-25,WT0001L2,control,F,JHO,45,3,14,0,1
2023-07-25,WT0001L2,control,F,JHO,46,3,14,0,2
2023-07-25,WT0001L2,control,F,JHO,47,3,20,0,1
2023-07-25,WT0001L2,control,F,JHO,48,3,16,0,1
2023-07-25,WT0001L2,control,F,JHO,49,3,12,0,2
2023-07-25,WT0001L2,control,F,JHO,50,4,20,0,1
2023-07-25,WT0001L2,control,F,JHO,51,3,10,0,2
2023-07-25,WT0001L2,control,F,JHO,52,1,16,0,2
