date,subject,condition,sex,experimenter,trial_num,platform,distance,laser_trial,outcome
2023-07-20,WT0001R2,control,F,ASM,1,2,16,0,2
2023-07-20,WT0001R2,control,F,ASM,2,2,18,0,2
2023-07-20,WT0001R2,control,F,ASM,3,2,10,0,1
2023-07-20,WT0001R2,control,F,ASM,4,3,10,0,1
2023-07-20,WT0001R2,control,F,ASM,5,5,18,0,2
2023-07-20,WT0001R2,control,F,ASM,6,3,18,0,2
2023-07-20,WT0001R2,control,F,ASM,7,3,20,0,2
2023-07-20,WT0001R2,control,F,ASM,8,3,10,0,2
2023-07-20,WT0001R2,control,F,ASM,9,2,10,0,1
2023-07-20,WT0001R2,control,F,ASM,10,4,16,0,2
2023-07-20,WT0001R2,control,F,ASM,11,3,14,0,1
2023-07-20,WT0001R2,control,F,ASM,12,3,16,0,2
2023-07-20,WT0001R2,control,F,ASM,13,5,16,0,2
2023-07-20,WT0001R2,control,F,ASM,14,1,14,0,2
2023-07-20,WT0001R2,control,F,ASM,15,3,14,0,1
2023-07-20,WT0001R2,control,F,ASM,16,3,16,0,2
2023-07-20,WT0001R2,control,F,ASM,17,3,12,0,2
2023-07-20,WT0001R2,control,F,ASM,18,3,18,0,2
2023-07-20,WT0001R2,control,F,ASM,19,3,18,0,2
2023-07-20,WT0001R2,control,F,ASM,20,3,20,0,2
2023-07-20,WT0001R2,control,F,ASM,21,3,12,0,1
