date,subject,condition,sex,experimenter,trial_num,platform,distance,laser_trial,outcome
2023-07-19,WT0001LR,control,F,ASM,1,3,12,0,2
2023-07-19,WT0001LR,control,F,ASM,2,3,16,0,2
2023-07-19,WT0001LR,control,F,ASM,3,5,12,0,2
2023-07-19,WT0001LR,control,F,ASM,4,4,20,0,2
2023-07-19,WT0001LR,control,F,ASM,5,3,14,0,2
2023-07-19,WT0001LR,control,F,ASM,6,2,20,0,2
2023-07-19,WT0001LR,control,F,ASM,7,3,12,0,2
2023-07-19,WT0001LR,control,F,ASM,8,3,12,0,1
2023-07-19,WT0001LR,control,F,ASM,9,3,10,0,1
2023-07-19,WT0001LR,control,F,ASM,10,5,16,0,2
2023-07-19,WT0001LR,control,F,ASM,11,1,20,0,2
2023-07-19,WT0001LR,control,F,ASM,12,3,12,0,1
2023-07-19,WT0001LR,control,F,ASM,13,3,14,0,2
2023-07-19,WT0001LR,control,F,ASM,14,3,10,0,1
2023-07-19,WT0001LR,control,F,ASM,15,3,14,0,2
2023-07-19,WT0001LR,control,F,ASM,16,5,14,0,1
2023-07-19,WT0001LR,control,F,ASM,17,3,10,0,1
