date,subject,condition,sex,experimenter,trial_num,platform,distance,laser_trial,outcome
2023-07-26,WT0002LR,control,M,MLP,1,3,20,0,1
2023-07-26,WT0002LR,control,M,MLP,2,2,20,0,1
2023-07-26,WT0002LR,control,M,MLP,3,3,20,0,1
2023-07-26,WT0002LR,control,M,MLP,4,3,10,0,1
2023-07-26,WT0002LR,control,M,MLP,5,3,10,0,2
2023-07-26,WT0002LR,control,M,MLP,6,3,14,0,2
2023-07-26,WT0002LR,control,M,MLP,7,3,16,0,2
2023-07-26,WT0002LR,control,M,MLP,8,3,14,0,1
2023-07-26,WT0002LR,control,M,MLP,9,4,12,0,2
2023-07-26,WT0002LR,control,M,MLP,10,3,10,0,1
2023-07-26,WT0002LR,control,M,MLP,11,3,16,0,2
2023-07-26,WT0002LR,control,M,MLP,12,2,14,0,1
2023-07-26,WT0002LR,control,M,MLP,13,3,12,0,2
2023-07-26,WT0002LR,control,M,MLP,14,3,12,0,1
2023-07-26,WT0002LR,control,M,MLP,15,3,18,0,1
2023-07-26,WT0002LR,control,M,MLP,16,3,20,0,1
2023-07-26,WT0002LR,control,M,MLP,17,3,10,0,2
2023-07-26,WT0002LR,control,M,MLP,18,3,20,0,1
2023-07-26,WT0002LR,control,M,MLP,19,3,10,0,1
2023-07-26,WT0002LR,control,M,MLP,20,3,20,0,1
2023-07-26,WT0002LR,control,M,MLP,21,3,12,0,1
2023-07-26,WT0002LR,control,M,MLP,22,3,10,0,1
2023-07-26,WT0002LR,control,M,MLP,23,3,14,0,1
2023-07-26,WT0002LR,control,M,MLP,24,4,18,0,1
2023-07-26,WT0002LR,control,M,MLP,25,3,10,0,1
2023-07-26,WT0002LR,control,M,MLP,26,3,16,0,0
2023-07-26,WT0002LR,control,M,MLP,27,3,16,0,1
2023-07-26,WT0002LR,control,M,MLP,28,2,12,0,1
2023-07-26,WT0002LR,control,M,MLP,29,3,20,0,1
2023-07-26,WT0002LR,control,M,MLP,30,5,16,0,1
2023-07-26,WT0002LR,control,M,MLP,31,3,12,0,1
2023-07-26,WT0002LR,control,M,MLP,32,3,20,0,1
2023-07-26,WT0002LR,control,M,MLP,33,3,14,0,2
2023-07-26,WT0002LR,control,M,MLP,34,3,20,0,1
2023-07-26,WT0002LR,control,M,MLP,35,3,18,0,1
2023-07-26,WT0002LR,control,M,MLP,36,3,10,0,1
2023-07-26,WT0002LR,control,M,MLP,37,5,14,0,1
2023-07-26,WT0002LR,control,M,MLP,38,3,12,0,1
2023-07-26,WT0002LR,control,M,MLP,39,3,14,0,1
2023-07-26,WT0002LR,control,M,MLP,40,3,10,0,1
2023-07-26,WT0002LR,control,M,MLP,41,5,12,0,1
2023-07-26,WT0002LR,control,M,MLP,42,3,16,0,1
2023-07-26,WT0002LR,control,M,MLP,43,3,16,0,1
2023-07-26,WT0002LR,control,M,MLP,44,3,18,0,1
2023-07-26,WT0002LR,control,M,MLP,45,2,10,0,1
