date,subject,condition,sex,experimenter,trial_num,platform,distance,laser_trial,outcome
2023-07-19,WT0002L2,control,M,JHO,1,3,18,0,2
2023-07-19,WT0002L2,control,M,JHO,2,5,20,0,2
2023-07-19,WT0002L2,control,M,JHO,3,3,20,0,2
2023-07-19,WT0002L2,control,M,JHO,4,2,20,0,2
2023-07-19,WT0002L2,control,M,JHO,5,4,16,0,2
2023-07-19,WT0002L2,control,M,JHO,6,5,14,0,2
2023-07-19,WT0002L2,control,M,JHO,7,3,10,0,1
2023-07-19,WT0002L2,control,M,JHO,8,3,20,0,2
2023-07-19,WT0002L2,control,M,JHO,9,3,10,0,1
2023-07-19,WT0002L2,control,M,JHO,10,3,12,0,1
2023-07-19,WT0002L2,control,M,JHO,11,2,18,0,2
2023-07-19,WT0002L2,control,M,JHO,12,3,10,0,1
2023-07-19,WT0002L2,control,M,JHO,13,2,12,0,1
2023-07-19,WT0002L2,control,M,JHO,14,5,14,0,0
2023-07-19,WT0002L2,control,M,JHO,15,3,20,0,2
2023-07-19,WT0002L2,control,M,JHO,16,3,12,0,1
2023-07-19,WT0002L2,control,M,JHO,17,5,16,0,1
2023-07-19,WT0002L2,control,M,JHO,18,3,10,0,1
2023-07-19,WT0002L2,control,M,JHO,19,3,12,0,1
2023-07-19,WT0002L2,control,M,JHO,20,3,10,0,1
2023-07-19,WT0002L2,control,M,JHO,21,4,12,0,1
2023-07-19,WT0002L2,control,M,JHO,22,3,10,0,2
2023-07-19,WT0002L2,control,M,JHO,23,3,20,0,2
2023-07-19,WT0002L2,control,M,JHO,24,3,20,0,2
2023-07-19,WT0002L2,control,M,JHO,25,3,20,0,2
2023-07-19,WT0002L2,control,M,JHO,26,3,12,0,1
2023-07-19,WT0002L2,control,M,JHO,27,3,20,0,2
2023-07-19,WT0002L2,control,M,JHO,28,3,16,0,2
2023-07-19,WT0002L2,control,M,JHO,29,3,18,0,2
2023-07-19,WT0002L2,control,M,JHO,30,3,16,0,2
2023-07-19,WT0002L2,control,M,JHO,31,3,20,0,2
2023-07-19,WT0002L2,control,M,JHO,32,3,16,0,2
2023-07-19,WT0002L2,control,M,JHO,33,3,14,0,1
2023-07-19,WT0002L2,control,M,JHO,34,3,18,0,2
2023-07-19,WT0002L2,control,M,JHO,35,3,18,0,2
2023-07-19,WT0002L2,control,M,JHO,36,3,12,0,0
2023-07-19,WT0002L2,control,M,JHO,37,3,14,0,1
2023-07-19,WT0002L2,control,M,JHO,38,3,14,0,0
2023-07-19,WT0002L2,control,M,JHO,39,3,10,0,1
2023-07-19,WT0002L2,control,M,JHO,40,3,20,0,2
2023-07-19,WT0002L2,control,M,JHO,41,3,20,0,2
2023-07-19,WT0002L2,control,M,JHO,42,3,16,0,2
2023-07-19,WT0002L2,control,M,JHO,43,3,20,0,2
2023-07-19,WT0002L2,control,M,JHO,44,3,18,0,2
2023-07-19,WT0002L2,control,M,JHO,45,3,10,0,1
2023-07-19,WT0002L2,control,M,JHO,46,2,14,0,1
2023-07-19,WT0002L2,control,M,JHO,47,3,12,0,1
2023-07-19,WT0002L2,control,M,JHO,48,3,18,0,2
2023-07-19,WT0002L2,control,M,JHO,49,4,16,0,2
2023-07-19,WT0002L2,control,M,JHO,50,3,18,0,2
2023-07-19,WT0002L2,control,M,JHO,51,3,10,0,1
2023-07-19,WT0002L2,control,M,JHO,52,5,10,0,1
2023-07-19,WT0002L2,control,M,JHO,53,5,14,0,1
2023-07-19,WT0002L2,control,M,JHO,54,3,16,0,2
2023-07-19,WT0002L2,control,M,JHO,55,3,12,0,1
2023-07-19,WT0002L2,control,M,JHO,56,3,12,0,0
2023-07-19,WT0002L2,control,M,JHO,57,3,12,0,1
2023-07-19,WT0002L2,control,M,JHO,58,3,18,0,2
2023-07-19,WT0002L2,control,M,JHO,59,3,10,0,1
2023-07-19,WT0002L2,control,M,JHO,60,3,10,0,1
