date,subject,condition,sex,experimenter,trial_num,platform,distance,laser_trial,outcome
2023-07-24,WT0001R2,control,F,ACN,1,5,16,0,1
2023-07-24,WT0001R2,control,F,ACN,2,3,16,0,2
2023-07-24,WT0001R2,control,F,ACN,3,4,14,0,2
2023-07-24,WT0001R2,control,F,ACN,4,2,10,0,1
2023-07-24,WT0001R2,control,F,ACN,5,3,16,0,1
2023-07-24,WT0001R2,control,F,ACN,6,3,12,0,1
2023-07-24,WT0001R2,control,F,ACN,7,3,10,0,1
2023-07-24,WT0001R2,control,F,ACN,8,3,12,0,1
2023-07-24,WT0001R2,control,F,ACN,9,3,20,0,2
2023-07-24,WT0001R2,control,F,ACN,10,3,16,0,2
2023-07-24,WT0001R2,control,F,ACN,11,3,16,0,2
2023-07-24,WT0001R2,control,F,ACN,12,1,12,0,1
2023-07-24,WT0001R2,control,F,ACN,13,5,12,0,1
2023-07-24,WT0001R2,control,F,ACN,14,3,18,0,2
2023-07-24,WT0001R2,control,F,ACN,15,3,20,0,2
2023-07-24,WT0001R2,control,F,ACN,16,3,12,0,1
2023-07-24,WT0001R2,control,F,ACN,17,3,20,0,2
2023-07-24,WT0001R2,control,F,ACN,18,3,10,0,1
2023-07-24,WT0001R2,control,F,ACN,19,3,16,0,1
2023-07-24,WT0001R2,control,F,ACN,20,3,18,0,2
2023-07-24,WT0001R2,control,F,ACN,21,3,12,0,1
2023-07-24,WT0001R2,control,F,ACN,22,5,16,0,2
2023-07-24,WT0001R2,control,F,ACN,23,3,18,0,2
2023-07-24,WT0001R2,control,F,ACN,24,3,20,0,2
2023-07-24,WT0001R2,control,F,ACN,25,3,14,0,1
2023-07-24,WT0001R2,control,F,ACN,26,4,16,0,1
2023-07-24,WT0001R2,control,F,ACN,27,3,14,0,1
2023-07-24,WT0001R2,control,F,ACN,28,3,10,0,1
2023-07-24,WT0001R2,control,F,ACN,29,3,12,0,1
2023-07-24,WT0001R2,control,F,ACN,30,3,14,0,1
2023-07-24,WT0001R2,control,F,ACN,31,3,14,0,1
2023-07-24,WT0001R2,control,F,ACN,32,4,18,0,2
2023-07-24,WT0001R2,control,F,ACN,33,3,16,0,0
2023-07-24,WT0001R2,control,F,ACN,34,3,12,0,1
2023-07-24,WT0001R2,control,F,ACN,35,1,18,0,2
2023-07-24,WT0001R2,control,F,ACN,36,3,20,0,2
2023-07-24,WT0001R2,control,F,ACN,37,3,20,0,2
2023-07-24,WT0001R2,control,F,ACN,38,3,20,0,2
2023-07-24,WT0001R2,control,F,ACN,39,3,18,0,2
2023-07-24,WT0001R2,control,F,ACN,40,3,10,0,1
2023-07-24,WT0001R2,control,F,ACN,41,1,14,0,1
2023-07-24,WT0001R2,control,F,ACN,42,3,18,0,2
2023-07-24,WT0001R2,control,F,ACN,43,3,12,0,1
2023-07-24,WT0001R2,control,F,ACN,44,3,16,0,1
2023-07-24,WT0001R2,control,F,ACN,45,3,16,0,1
2023-07-24,WT0001R2,control,F,ACN,46,4,18,0,2
2023-07-24,WT0001R2,control,F,ACN,47,3,18,0,2
2023-07-24,WT0001R2,control,F,ACN,48,3,16,0,2
2023-07-24,WT0001R2,control,F,ACN,49,3,18,0,2
2023-07-24,WT0001R2,control,F,ACN,50,3,12,0,1
2023-07-24,WT0001R2,control,F,ACN,51,3,12,0,1
2023-07-24,WT0001R2,control,F,ACN,52,3,14,0,2
2023-07-24,WT0001R2,control,F,ACN,53,3,18,0,2
2023-07-24,WT0001R2,control,F,ACN,54,3,18,0,2
2023-07-24,WT0001R2,control,F,ACN,55,3,18,0,1
2023-07-24,WT0001R2,control,F,ACN,56,3,20,0,2
