"","error_2_df","participant","group"
"1","4","X8","English monolingual"
"2","0","X9","English monolingual"
"3","0","X10","English monolingual"
"4","0","X11","English monolingual"
"5","1","X13","English monolingual"
"6","0","X14","English monolingual"
"7","0","X15","English monolingual"
"8","0","X16","English monolingual"
"9","9","X19","English monolingual"
"10","0","X25","English monolingual"
"11","0","X29","English monolingual"
"12","0","X31","English monolingual"
"13","6","X33","English monolingual"
"14","0","X35","English monolingual"
"15","0","X36","English monolingual"
"16","2","X41","English monolingual"
"17","0","X44","English monolingual"
"18","0","X46","English monolingual"
"19","1","X48","English monolingual"
"20","0","X49","English monolingual"
"21","0","X51","English monolingual"
"22","2","X52","English monolingual"
"23","0","X55","English monolingual"
"24","1","X56","English monolingual"
"25","2","X59","English monolingual"
"26","0","X78","English monolingual"
"27","0","X90","English monolingual"
"28","0","X96","English monolingual"
"29","0","X123","English monolingual"
"30","0","X125","English monolingual"
"31","0","X133","English monolingual"
"32","1","X135","English monolingual"
"33","1","X151","English monolingual"
"34","0","X152","English monolingual"
"35","0","X503","English monolingual"
"36","0","X504","English monolingual"
"37","1","X505","English monolingual"
"38","1","X506","English monolingual"
"39","7","X507","English monolingual"
"40","4","X508","English monolingual"
"41","2","X509","English monolingual"
"42","0","X512","English monolingual"
"43","0","X515","English monolingual"
"44","1","X517","English monolingual"
"45","1","X518","English monolingual"
"46","1","X520","English monolingual"
"47","0","X526","English monolingual"
"48","1","X26","East Asian"
"49","1","X27","East Asian"
"50","1","X32","East Asian"
"51","1","X4","East Asian"
"52","4","X6","East Asian"
"53","3","X111","East Asian"
"54","0","X129","East Asian"
"55","0","X148","East Asian"
"56","0","X155","East Asian"
"57","0","X159","East Asian"
"58","0","X161","East Asian"
"59","0","X162","East Asian"
"60","0","X169","East Asian"
"61","3","X502","East Asian"
"62","4","X516","East Asian"
"63","2","X668","East Asian"
"64","1","X671","East Asian"
"65","2","X676","East Asian"
"66","3","X677","East Asian"
"67","0","X678","East Asian"
"68","0","X679","East Asian"
"69","3","X680","East Asian"
"70","0","X681","East Asian"
"71","5","X682","East Asian"
"72","1","X7","South Asian"
"73","1","X30","South Asian"
"74","0","X34","South Asian"
"75","2","X53","South Asian"
"76","3","X87","South Asian"
"77","0","X156","South Asian"
"78","0","X164","South Asian"
"79","1","X510","South Asian"
"80","0","X513","South Asian"
"81","1","X514","South Asian"
"82","1","X525","South Asian"
"83","0","X623","South Asian"
"84","2","X627","South Asian"
"85","0","X628","South Asian"
"86","1","X631","South Asian"
"87","0","X633","South Asian"
"88","0","X634","South Asian"
"89","0","X635","South Asian"
"90","0","X636","South Asian"
"91","2","X637","South Asian"
"92","0","X641","South Asian"
"93","2","X37","South-east Asian"
"94","0","X528","South-east Asian"
"95","5","X643","South-east Asian"
"96","0","X646","South-east Asian"
"97","1","X647","South-east Asian"
"98","1","X651","South-east Asian"
"99","3","X652","South-east Asian"
"100","0","X657","South-east Asian"
"101","0","X662","South-east Asian"
"102","2","X664","South-east Asian"
"103","0","X665","South-east Asian"
"104","0","X667","South-east Asian"
"105","0","X683","South-east Asian"
"106","1","X684","South-east Asian"
"107","0","X685","South-east Asian"
"108","6","X686","South-east Asian"
"109","2","X687","South-east Asian"
"110","3","X689","South-east Asian"
"111","2","X690","South-east Asian"
"112","5","X691","South-east Asian"
"113","0","X692","South-east Asian"
"114","3","X693","South-east Asian"
"115","1","X694","South-east Asian"
"116","1","X695","South-east Asian"
"117","0","X697","South-east Asian"
"118","4","X1","non_multi"
"119","2","X12","non_multi"
"120","0","X18","non_multi"
"121","0","X2","non_multi"
"122","0","X23","non_multi"
"123","0","X38","non_multi"
"124","4","X45","non_multi"
"125","1","X50","non_multi"
"126","1","X91","non_multi"
"127","0","X115","non_multi"
"128","1","X121","non_multi"
"129","0","X132","non_multi"
"130","1","X157","non_multi"
"131","0","X158","non_multi"
"132","0","X163","non_multi"
"133","1","X165","non_multi"
"134","1","X167","non_multi"
"135","1","X501","non_multi"
"136","0","X519","non_multi"
"137","0","X521","non_multi"
"138","5","X522","non_multi"
"139","2","X601","non_multi"
"140","2","X605","non_multi"
"141","1","X608","non_multi"
"142","1","X611","non_multi"
"143","0","X612","non_multi"
"144","9","X613","non_multi"
"145","1","X614","non_multi"
"146","3","X615","non_multi"
"147","6","X616","non_multi"
"148","1","X618","non_multi"
"149","3","X619","non_multi"
"150","6","X620","non_multi"
"151","0","X621","non_multi"
"152","1","X622","non_multi"
"153","3","X698","non_multi"
"154","2","X700","non_multi"
"155","5","X701","non_multi"
"156","6","X702","non_multi"
"157","5","X704","non_multi"
"158","6","X707","non_multi"
"159","5","X708","non_multi"
"160","6","X710","non_multi"
"161","0","X711","non_multi"
"162","4","X714","non_multi"
"163","4","X715","non_multi"
"164","7","X716","non_multi"
